Category,DTBK_Pct
Pre-Rolls,28.9
Edibles,24.1
Flower,15.3
Vapor Pens,17.5
Beverages,5.6
Accessories,6.8
Concentrates,0.8
Tinctures,0.5
CBD,0.3
Topicals,0.2
